Name,Elevation,Geogr1,Geogr2,ELEMENT,Year,Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2020,9:00,10.1,11.8,13.3,13.3,13.2,12.1,12.3,12.5,12,10.7,9.1,7.9
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2021,9:00,8.9,10.6,11.3,12.8,12.4,12.2,12.3,12.2,11.6,11.4,9.8,8.8
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2022,9:00,10.1,10.9,11.9,13.1,13.4,12.3,12.6,12.5,12.2,10.7,9.2,9.8
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2023,9:00,8.6,9.5,12.1,13.1,12.7,12.6,12.7,12.5,12.8,12.5,10.9,10
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2024,9:00,11.4,13,13.9,13.9,14,13.3,13.4,13.1,12.2,12.4,9.9,8.4
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2025,9:00,9,11,12.9,12.8,13.2,12.1,12.4,12.5,11.8,11,9.2,10.5
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2026,9:00,9.3,11.9,12.7,12.8,13.7,,,,,,,
Addis Ababa,2386,38.7475,9.01891,WINDLY,2017,18:00,0.6,0.7,0.7,0.9,0.6,1,0.5,0.3,0.4,0.5,0.6,0.6
Addis Ababa,2386,38.7475,9.01891,WINDLY,2018,18:00,0.6,0.6,0.6,0.5,0.6,0.4,,,,0.6,0.6,0.5
Addis Ababa,2386,38.7475,9.01891,WINDLY,2019,18:00,0.6,0.7,0.6,0.5,0.5,0.3,0.4,0.4,0.3,0.7,0.6,0.5
Addis Ababa,2386,38.7475,9.01891,WINDLY,2020,18:00,0.6,0.7,0.6,,,,,,,,,
